;RU;BY;G
Абакум;Абакум;M
Авер;Авер;M
Агап;Агап;M
Агапон;Агапон;M
Аггей;Агей;M
Адам;Адам;M
Адамей;Адамей;M
Адамусь;Адамусь;M
Адась;Адась;M
Адолик;Адолік;M
Адоль;Адоль;M
Адриан;Адрыян;M
Азар;Азар;M
Аким;Акім;M
Аксён;Аксён;M
Олег;Алег;M
Алелька;Алелька;M
Алесь;Алесь;M
Алехна;Алехна;M
Ализар;Алізар;M
Елисей;Алісей;M
Альгей;Альгей;M
Ольгерд;Альгерд;M
Альфон;Альфон;M
Александр;Аляксандр;M
Алексей;Аляксей;M
Амброс;Амброс;M
Амелька;Амелька;M
Амиль;Аміль;M
Амос;Амос;M
Амелюк;Амялюк;M
Емельян;Амялян;M
Ананий;Анань;M
Анастасий;Анастась;M
Анась;Анась;M
Анатолий;Анатоль;M
Андрон;Андрон;M
Андроник;Андронік;M
Андрук;Андрук;M
Андрусь;Андрусь;M
Андрик;Андрык;M
Андрей;Андрэй;M
Аникей;Анікей;M
Онисим;Анісім;M
Анисий;Анісь;M
Антаней;Антаней;M
Антасей;Антасей;M
Антоль;Антоль;M
Антон;Антон;M
Антоник;Антонік;M
Антон;Антось;M
Антук;Антук;M
Антусь;Антусь;M
Анупрей;Анупрэй;M
Антип;Анціп;M
Аркадий;Аркадзь;M
Арнольд;Арнольд;M
Арсен;Арсен;M
Артём;Арцём;M
Богдан;Багдан;M
Базыль;Базыль;M
Болеслав;Баляслаў;M
Бонифаций;Баніфацый;M
Борис;Барыс;M
Борислав;Барыслаў;M
Бронислав;Браніслаў;M
Вадим;Вадзім;M
Валерий;Валерый;M
Варфоломей;Варфаламей;M
Василий;Васіль;M
Венедикт;Венядзікт;M
Викентий;Вікенцій;M
Виктор;Віктар;M
Виталий;Віталій;M
Вячеслав;Вячаслаў;M
Горислав;Гарыслаў;M
Гаврила;Гаўрыла;M
Геннадий;Генадзь;M
Георгий;Георгій;M
Герасим;Герасім;M
Данила;Даніла;M
Дмитрий;Дзмітрый;M
Денис;Дзяніс;M
Захар;Захар;M
Иван;Іван;M
Игорь;Ігар;M
Игнат;Ігнат;M
Илья;Ілья;M
Иосиф;Іосіф;M
Казимир;Казімір;M
Константин;Канстанцін;M
Ким;Кім;M
Кирилл;Кірыла;M
Ксенофонт;Ксенафонт;M
Кузьма;Кузьма;M
Куприян;Купрыян;M
Леонид;Леанід;M
Лука;Лука;M
Леон;Лявон;M
Максим;Максім;M
Мартин;Марцін;M
Мечислав;Мечыслаў;M
Николай;Мікалай;M
Никита;Мікіта;M
Митрофан;Мітрафан;M
Михаил;Міхаіл;M
