;RU;BY;G
nДовнарович;Даўнаровіч;MF
Абрамович;Абрамовіч;MF
Абрамчик;Абрамчык;MF
Абрамчук;Абрамчук;MF
Авраменко;Аўраменка;MF
Аврамчик;Абрамчык;MF
Авхименя;Аўхіменя;MF
Агейчик;Агейчык;MF
Адаменя;Адаменя;MF
Адамович;Адамовіч;MF
Адамчук;Адамчук;MF
Азаренко;Азаранка;MF
Акулич;Акуліч;MF
Алейников;Алейнікаў;M
Алейникова;Алейнікава;F
Александров;Аляксандраў;M
Александрова;Аляксандрава;F
Александрович;Аляксандравіч;MF
Алексеев;Аляксееў;M
Алексеева;Аляксеева;F
Алексеенко;Аляксеенка;MF
Алексейчик;Аляксейчык;MF
Алешкевич;Аляшкевіч;MF
Алешко;Алешка;MF
Альховик;Альховік;MF
Альшевская;Альшэўская;F
Альшевский;Альшэўскі;M
Амельченя;Амяльчэня;MF
Ананич;Ананіч;MF
Андреев;Андрэеў;M
Андреева;Андрэева;F
Андрейчик;Андрэйчык;MF
Андреюк;Андрэюк;MF
Андрончик;Андрончык;MF
Анищенко;Анішчанка;MF
Антипенко;Анціпенка;MF
Антоненко;Антоненка;MF
Антонов;Антонаў;M
Антонова;Антонава;F
Антонович;Антановіч;MF
Антончик;Антончык;MF
Антонюк;Антанюк;MF
Аринич;Арыніч;MF
Артеменко;Арцёменка;MF
Артемчик;Арцёмчык;MF
Арцименя;Арцыменя;MF
Арцыменя;Арцыменя;MF
Астапенко;Астапенка;MF
Астапов;Астапаў;M
Астапова;Астапава;F
Астапчик;Астапчык;MF
Асташёнок;Асташонак;MF
Асташонок;Асташонак;MF
Астрейко;Астрэйка;MF
Атрощенко;Атрошчанка;MF
Афанасенко;Афанасенка;MF
Ахраменя;Ахраменя;MF
Ахремчик;Ахрэмчык;MF
Бабеня;Бабеня;MF
Бабинич;Бабініч;MF
Бабицкая;Бабіцкая;F
Бабицкий;Бабіцкі;M
Бабич;Бабіч;MF
Бабок;Бабак;MF
Базылец;Базылец;MF
Баранов;Баранаў;M
Баранова;Баранава;F
Барановская;Бараноўская;F
Барановский;Бараноўскі;M
Баранчик;Баранчык;MF
Баранчук;Баранчук;MF
Барковская;Баркоўская;F
Барковский;Баркоўскі;M
Барсук;Барсук;MF
Барташевич;Барташэвіч;MF
Белько;Белька;MF
Бельская;Бельская;F
Бельский;Бельскі;M
Белявская;Бяляўская;F
Белявский;Бяляўскі;M
Беляев;Бяляеў;M
Беляева;Бяляева;F
Березовская;Бярозаўская;F
Березовский;Беразоўскі;M
Бибик;Бібік;MF
Бирюк;Бірук;MF
Близнюк;Блізнюк;MF
Бобко;Бабко;MF
Бобков;Бабкоў;M
Бобкова;Бабкова;F
Бобок;Бабок;MF
Бобрик;Бобрык;MF
Бобров;Баброў;M
Боброва;Баброва;F
Богданов;Багданаў;M
Богданова;Багданава;F
Богданович;Багдановіч;MF
Богдевич;Багдзевіч;MF
Божко;Бажко;MF
Божок;Бажок;MF
Бойко;Бойка;MF
Бондарев;Бондараў;M
Бондарева;Бондарава;F
